Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586
NA,NA,NA,NA,NA,NA,0,16,NA,NA,NA,NA,0,NA,NA,NA,NA,698
NA,NA,NA,32,NA,NA,0,7,NA,NA,NA,NA,1,NA,NA,NA,NA,847
4,NA,NA,33,3,0,0,14,NA,NA,NA,NA,0,0,NA,NA,NA,738
0,1,NA,16,0,0,0,5,NA,NA,NA,NA,0,2,NA,NA,69,682
1,0,NA,21,0,0,0,6,1,NA,NA,NA,0,0,NA,NA,0,751
0,0,NA,17,0,0,0,0,1,NA,2,NA,0,2,1,NA,0,652
0,0,NA,22,0,0,1,0,NA,NA,5,1,0,2,1,NA,110,NA
1,0,NA,20,1,0,2,4,1,NA,0,1,0,0,0,NA,NA,NA
0,0,NA,22,0,1,1,6,0,NA,4,NA,0,4,2,NA,NA,NA
0,0,NA,24,0,2,2,11,8,NA,2,1,0,3,0,NA,NA,NA
1,1,NA,34,1,0,1,8,1,NA,0,0.001,0,3,3,NA,NA,80
3,0,NA,42,0,0,1,9,3,3,2,NA,0,3,0,NA,NA,52
1,0,NA,31,NA,0,0,7,2,2,1,NA,0,4,2,NA,NA,70
2,0,0,70,NA,0,0,5,4,3,2,0.001,3,1,1,NA,NA,106
0,1,0,45,NA,0,0,8,2,4,NA,NA,0,0,1,NA,NA,118
1,2,0,55,NA,0,5,8,11,3,NA,NA,0,3,2,0,NA,85
3,2,NA,55,NA,0,4,1,2,6,1,NA,2,2,0,5,NA,59
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,0,NA,NA,NA,NA,148
NA,NA,NA,416,NA,NA,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,133
26,NA,NA,342,5,0,0,6,NA,NA,NA,NA,0,1,NA,NA,1000,96
