Australia,Austria,Belgium,Canada,Denmark,Finlad,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
48.65,NA,NA,NA,NA,NA,NA,NA,NA,4.51,NA,5.29,NA,NA,NA,NA,NA,1.31
52.36,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,6.46,NA,NA,NA,NA,NA,0.06
37,NA,NA,NA,0.57,NA,NA,NA,NA,0.9,NA,5.58,NA,NA,NA,NA,NA,0.06
198.7,NA,NA,NA,NA,NA,0.01,NA,NA,1.83,NA,7.25,0.02,NA,NA,NA,NA,0.09
116.91,NA,NA,1.46,NA,NA,0.02,NA,NA,9.66,NA,8.74,NA,NA,NA,NA,NA,0.04
166.51,NA,NA,0.01,NA,NA,0.02,NA,NA,19.13,NA,27.19,NA,NA,NA,NA,NA,0.04
261.43,NA,NA,NA,NA,NA,0.03,0.02,NA,18.78,NA,30.87,NA,NA,NA,NA,0.18,0.03
246.11,0.08,NA,0.44,NA,NA,0.03,0.34,NA,4.82,NA,44.99,NA,NA,0.15,NA,0.26,0.34
305.71,NA,NA,NA,NA,NA,0.02,NA,NA,12.86,NA,17.6,NA,0.29,NA,NA,0.26,0.03
183.67,NA,NA,0.79,NA,0.24,NA,0.01,NA,48.7,NA,36.8,NA,NA,NA,NA,0.27,0.07
263.66,NA,NA,NA,NA,NA,NA,0.01,NA,16.35,NA,11.13,0.01,NA,NA,NA,0.25,0.25
222.81,NA,NA,0.38,NA,NA,0.54,NA,NA,13.13,NA,32.67,0.01,NA,NA,NA,0.21,0.45
0.02,2.04,10.74,10.69,NA,1.19,2.87,18.32,86.25,0.18,11.11,0.11,19.6,NA,NA,3.37,23.59,791.07
0.02,0.31,0.03,3.03,0.61,1.61,0.49,9.72,28.97,NA,7.01,0.06,11.38,NA,NA,0.97,26.42,543.31
1.53,3.34,0.36,2.19,0.59,0.93,3.32,2.79,12.02,0.02,9.27,NA,13.31,NA,NA,2.83,6.78,74.85
0.19,0.27,1.79,9.49,NA,1.98,0.08,1.56,1.59,0.01,5.23,NA,12.47,NA,NA,1.87,1.94,7.72
NA,0.28,0.08,0.52,NA,0.16,1.5,1.55,11.66,0.39,4.89,NA,22.04,NA,NA,4.65,4.04,5.14
NA,0.15,1.74,0.46,NA,0.73,4.24,1.44,5.04,0.01,4.8,NA,20.76,NA,6.68,2.84,3.16,14.62
0.16,0.21,NA,NA,NA,1.46,2.77,3.97,19.3,NA,6.29,0.07,30.87,NA,5.25,0.87,3.03,17.1
0.07,0.79,NA,0.88,NA,4.56,2.28,2.91,2.77,NA,6.14,0.05,9.05,NA,9.76,2.96,1.65,28.14
NA,0.83,NA,0.58,NA,5.22,2.16,1.11,32.43,NA,11.55,NA,11.86,NA,7.67,0.68,5.63,31.21
NA,0.61,NA,0.24,2.77,4.59,1.86,2.93,8.72,NA,4.75,1.43,19.54,NA,10.3,1.05,4.5,43.21
NA,0.67,NA,1.63,9.65,4.58,3.39,2.62,6.27,NA,7.7,0.44,68.31,NA,10.1,0.71,4.66,39.32
0.1,0.45,0.13,2.61,NA,4.68,1.3,3.79,14.19,NA,14.15,0.55,52.86,NA,16.72,1.63,13.41,36.76
0.05,0.42,NA,0.41,2.55,8.53,1.46,6.39,17.02,NA,14.16,0.99,45.35,0.08,16.69,1.5,11.92,49.1
1.5,0.02,1.66,14.7,5.46,9.96,2.6,6.78,2.57,0.24,14.53,0.17,42.56,2.54,18.06,3.6,56.94,119.35
2.67,0.35,3,11.42,13.2,12.49,7.15,12.62,8.16,9.46,11.38,0.51,48.81,2.26,28.29,5.29,25.28,95.13
NA,0.22,2.57,25.08,19.32,15.3,9.1,10.61,26.25,20.37,20.29,0.8,43,12.36,34.4,11.28,78.42,333.98
NA,0.09,3.59,22.48,17.86,11.48,4.73,21.75,3.53,22.64,14.51,0.11,43.51,50.47,33.49,4.7,42.93,191.65
5.33,0.12,6.05,6.13,15.91,11.85,4.06,13.4,11.28,29.07,8.3,0.04,30.61,7.37,19.14,10.9,50.84,68.59
55.77,3.64,7.44,43.27,103.2,10.44,3.51,34.6,16.92,51.97,27.85,2.55,80.36,17.14,62.76,22.72,112.81,248.22
6.29,4.84,NA,15.56,NA,1.25,NA,21.45,5.33,1.92,11.78,0.18,NA,NA,49.72,5.56,NA,120.25
0.19,0.88,1,5.99,27.72,9.03,1.88,35.52,6.19,2.64,14.12,0.26,33.91,NA,47.11,18.47,NA,102.72
40.26,0.05,7.31,44.23,40.15,5.16,22.49,30.54,0.44,4.53,40.69,NA,34.64,NA,44.52,1.24,38.81,NA
9.72,2.49,6.67,33.11,20.41,6.57,52.78,76.48,0.19,79.6,20.86,0.38,26.98,NA,44.24,22.76,48.68,170.05
29.64,2.7,11.81,12.4,42.69,5.35,6.22,42.06,0.06,21.43,25.77,NA,34.86,0.27,43.62,16.75,57,92.81
13.67,2.29,5.57,7.57,5.12,2.55,81.65,75.25,1.56,54.39,27.27,0.65,12.08,2.67,82.84,14.47,77.35,102.79
8.31,1.05,7.3,13.94,10.72,14.81,9.89,32.54,3.07,23.82,18.19,0.77,34.17,3.55,97.4,9.32,92.83,72.06
36.65,2.15,7.56,14.35,2.6,16.57,12.57,49.67,1.07,9.8,44.98,0.61,57.88,2.03,22.87,16.45,71.59,70.99
14.17,2.17,13.24,24.97,19.94,3.7,29.95,26.98,2.53,24.93,12.91,0.8,69.75,2.09,34.11,17.71,105.33,71.16
8.49,2.49,17.15,10.68,38.14,20.88,36.47,86.18,9.11,28.48,21.33,0.79,23.58,0.1,21.9,13.52,70,75.81
16.89,2.35,34.61,7.07,24.33,13.96,14.22,37.31,1.91,22.27,28.93,1.16,9.69,0.35,26.18,10.08,167.18,99.52
0.88,0.91,17.72,22.41,5.14,8.74,58,75.35,6.74,13.06,25.75,1.58,20.23,0.6,41.22,4.89,110.07,148.03
3.77,0.9,23.35,14.77,77.9,23.22,77.22,112.88,4.33,16.92,127.66,1.2,34.05,0.47,20.03,22.02,123.94,192.58
3.16,1.71,38.67,20.39,6.85,13.84,170.65,70.98,4.43,5.93,34.18,1.65,32.49,1.18,17.56,13.89,95.59,284.67
2.75,4.03,16.79,21.42,11.78,10.68,139.43,29.81,10.94,5.49,32.47,1.17,4.45,1.13,4.44,12.67,170.48,438.1
2.59,0.73,20.85,29.86,9.64,4.59,15.52,165.75,16.49,4.6,38.61,1.32,8.59,0.45,4.49,2.4,120.89,614.21
2.57,1.05,19.24,15.37,6.33,12.52,171.28,103.32,14.38,5.74,83.41,0.94,44.29,4.97,11.1,10.04,89.53,597.87
3.63,0.88,15.83,4.76,11.56,6.24,13.27,167.09,0.28,8.26,14.2,1.06,10.78,2.12,38.58,16.6,76.49,551.71
4.45,0.79,19.57,3.69,6.73,17.25,85.67,127.83,2.99,10.53,3.91,1.35,45.35,0.33,8.77,3.84,8.78,654.68
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.34,0.17,5.54,61.49,39.85,36.59,0.26,19.85,0.2,25.85,9.85,0.79,47.48,NA,9.88,10.57,112.38,171.43
19.27,0.31,1.45,4.2,1.52,14.5,0.51,39.22,0.63,336.74,33.3,0.04,33.81,NA,7.26,2.22,24.23,40.53
3.08,0.31,1.01,4.06,0.52,2.53,4.12,17.78,2.63,495.79,8.56,0.1,34.31,NA,8.58,6.28,27.14,84.91
5.19,0.19,0.97,6.37,NA,0.39,5.17,43.39,0.06,323.49,14.43,NA,17.22,NA,8.75,2.99,23.69,61.81
22.63,0.36,0.58,26.48,NA,0.08,1.05,27.82,0.86,438.48,8.92,0.21,74.5,NA,7.69,2.22,20,18.76
8.96,0.11,0.39,7.29,NA,0.19,6.17,78.48,NA,375.25,6.45,NA,38.12,NA,7.59,3.88,25.93,19.44
15.43,0.22,0.38,12.7,NA,0.02,13.41,28.06,NA,254.63,23.57,0.29,18.16,NA,25.05,1.33,19.81,23.81
16.49,0.14,0.23,3.77,3.66,0.15,1.12,64.37,NA,261.94,2.36,0.46,27.47,NA,3.52,3.18,13.49,20.56
9.87,0.35,0.22,11.89,NA,0.11,0.89,34.76,0.01,76.36,22.22,0.33,24.2,NA,44.34,2.03,14.94,11.88
19.24,0.54,0.02,9.04,0.08,0.49,0.9,56.99,0.63,412.65,25.34,0.38,26.98,NA,13.48,0.18,23.72,27.29
9.7,0.38,0.03,12.68,20.04,0.67,1.98,9.98,NA,305.28,16.64,0.43,36.96,NA,24.34,4.39,13.06,26.7
13.02,19.09,0.13,15.66,51,19.66,13.86,35.84,NA,321.66,5.55,0.48,40.09,NA,32.97,8.28,15.34,30.6
104.1,5.69,0.11,22.35,44.1,0.39,6.27,6.64,0.02,299.38,7.57,1.49,60.42,0.74,31.92,6.85,17.8,39.98
69.95,23.79,7.58,40.6,11.98,45.41,99.77,223.25,21.93,224.24,55.07,3.6,80.71,4.16,95,14.43,12.85,196.52
25.5,4.49,0.9,54.12,43.28,2.04,3.73,22,2.6,275.21,20.89,1.49,44.56,8.02,13.5,11.22,25.61,48.33
9.94,11.14,1.65,22.3,4.52,1.03,26.36,8.86,2.11,406.86,19.54,1.46,48.58,14.68,13.45,11.56,11.29,47.61
36.19,15.74,1.51,19.56,3.13,2.4,23.09,12.78,1.68,407.58,13.27,0.98,27.69,4.07,9.08,11.29,1.8,78.04
27.68,1.41,5.71,23.1,18.22,1.55,25.1,38.1,3.8,52.52,6.77,1.21,46.71,6.76,12.99,7.4,25.06,81.11
63.55,0.4,0.23,11.33,22.39,1.35,1.4,17.38,1,497.7,4.38,0.19,29.19,1.07,12.29,11.1,11.34,92.52
51.47,0.52,0.82,16.84,0.69,3.07,80.5,27.27,1.66,571.49,1.01,1.12,15.13,1.04,6.12,13.68,6.04,64.01
0.35,226.01,0.02,45.13,NA,3.27,10.62,507.99,138.89,0.35,67.41,0.16,63.33,NA,NA,48.88,9.66,139.59
NA,NA,NA,18.13,NA,11.63,5.4,305.51,0,0.38,49.82,NA,88.9,NA,NA,33.79,10.83,NA
5.77,NA,NA,0,NA,6.71,1.62,9.36,0,NA,49.6,NA,147.23,NA,NA,4.19,67.56,NA
0,12.22,3.03,46.92,NA,1.95,NA,NA,NA,0.05,5.47,NA,128.56,NA,NA,3.27,109.69,NA
NA,NA,0.71,NA,NA,1.95,NA,NA,1.61,0.04,NA,NA,14.2,NA,NA,3.7,73.9,NA
0.14,NA,NA,1.57,NA,7.46,2,NA,2.56,5.74,NA,NA,27.6,NA,NA,NA,42.16,NA
9.37,NA,NA,11.9,NA,7.1,32.45,NA,3.4,32,NA,NA,38.21,0.71,4.79,0.94,44.77,26.53
NA,NA,NA,101.41,NA,4.19,NA,NA,7.86,2.26,NA,NA,18.71,52.53,NA,86.8,143.96,NA
NA,0.17,NA,51.5,0.23,1.37,NA,NA,9.02,12.85,NA,NA,NA,0.02,0.24,54.5,20.78,NA
NA,0.38,NA,5.98,31.61,1.05,0.34,NA,16.38,16.48,NA,NA,88.33,67.47,4.18,16.21,2.24,NA
NA,0.79,NA,NA,0.88,0.88,0.87,25.63,5.63,0.98,13.04,NA,24.27,37.38,27.55,NA,0.24,NA
NA,0.63,NA,NA,0.12,1.13,0.47,23.16,21.27,0.17,NA,NA,22.8,0.02,NA,NA,1.96,NA
NA,0.05,NA,NA,NA,1.31,2.45,NA,3.13,0.26,NA,NA,22.92,NA,NA,0.03,4.4,NA
NA,0.61,NA,NA,NA,0.04,1.01,NA,3.78,0.13,NA,NA,21.79,NA,NA,0.24,NA,98.36
NA,0.72,NA,NA,NA,0.44,1.13,NA,1.02,0.13,NA,NA,0.05,7.01,1.08,NA,NA,4.08
NA,8.23,NA,NA,6.44,NA,3.57,NA,2.6,0.07,NA,NA,0.99,NA,NA,0.02,NA,0.47
NA,4.31,NA,NA,NA,NA,2.3,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,0.25
NA,2.95,0.06,NA,NA,NA,2.1,NA,0.31,NA,NA,NA,0.04,NA,NA,NA,NA,NA
NA,1.8,NA,NA,NA,NA,0.02,NA,0.75,NA,NA,NA,1.34,NA,NA,NA,NA,NA
NA,0.93,1.11,12.95,1.63,2.31,2.41,15.21,3.28,0.66,28.25,0.05,14.52,NA,NA,4.39,23.41,41.58
NA,0.84,0.11,15.26,NA,2.76,3.25,18.18,5.22,17.7,19.45,0.15,18.8,NA,NA,2.83,26.23,44.85
7.07,0.58,0.22,8.35,NA,1.5,2.55,8.31,1.11,21.23,25.51,NA,25,NA,NA,5.23,18.72,39.54
14.29,0.55,0.04,5.5,0.93,1.17,3.84,14.07,0.15,18.68,17.12,0.07,24.34,NA,NA,3.92,16.16,25.08
9.3,0.6,0.64,4.44,NA,1.39,2.99,8.95,0.7,0.49,12.79,NA,15.03,0.05,NA,3.81,14.94,15.45
8.34,0.76,1.59,14.44,NA,1.75,8.2,15.68,2.9,0.18,22.23,0.31,44.78,3.4,17.23,9.9,44.26,38.05
4.35,0.66,1.89,7.24,NA,3.31,5.42,14.61,0.98,0.61,15.38,0.15,43.68,0.09,13.97,9.17,19.09,122.85
0.05,0.59,0.7,5.7,NA,1.86,4.34,11.83,5.39,0.69,15.28,NA,26.47,0.08,15.81,11.74,8.68,61.15
0.73,0.43,NA,8.67,4.62,4.72,1.73,12.12,6.54,0.7,21.73,0.24,27.52,0.19,14.85,9.8,15.63,69.44
NA,0.7,3.39,7.5,NA,2.67,5.74,14.05,6.32,1.19,13.55,0.23,56.12,0.02,21.15,7.21,19.87,162.82
0.02,0.6,0.28,9.61,NA,4.89,9.86,15.54,8.19,1.47,8.55,1.18,42.32,0.44,15.36,10.79,43.48,237.46
26.54,2.81,2.37,45.29,5.26,11.04,15.33,51.34,13.91,1.65,97.56,4.43,95.49,9.67,37.31,18.76,132.93,582.51
14.65,1.39,3.84,16.93,47.47,29.07,23.03,44.69,15.49,2.13,301.16,3.69,239.56,11.45,91.18,21.52,219.39,1039.83
10.58,1.07,2.7,90.31,21.83,11.94,18.47,50.89,13.25,70.02,77.6,1.88,85.93,14.88,40.1,17.4,230.92,905.71
24.85,1.32,8.35,92.87,27.09,25.14,14.96,40.48,20.56,34.97,154.2,2.23,101.63,28.25,56.69,16.46,197.63,863.91
5.79,0.68,2.71,95.85,37,25.21,14.24,60.51,33.57,100.01,214.44,2.06,222.44,12.96,60.33,23.49,205.16,1068.6
11.84,0.84,7.73,151.95,38.34,15.15,9.28,53.42,19.98,158.83,154.42,0.55,106.36,30.22,89.58,10.32,402.81,1242.48
10.56,0.41,13.19,94.91,38.42,16.78,9.8,43.18,15.02,98.06,88.89,NA,140.67,25.03,71.22,23.06,109.45,833.28
27.52,0.26,7.51,59.86,3.68,11.87,17.52,29.34,17.28,112.02,32.78,NA,46.11,34.23,59.86,8.67,27.49,675.9
NA,NA,6.48,NA,NA,NA,0.6,0.02,NA,0.12,104.32,NA,NA,NA,NA,NA,NA,13.55
NA,NA,4.67,NA,NA,NA,0.12,0.08,NA,0.92,55.46,NA,NA,NA,NA,NA,NA,8.1
NA,NA,3.83,0.13,NA,NA,0.02,0.07,NA,0.73,81.59,NA,NA,NA,NA,NA,NA,15.92
NA,NA,4.58,0.2,NA,NA,0.03,0.04,NA,3.22,114.77,NA,NA,NA,NA,NA,0.02,0.64
NA,NA,3.98,0.31,NA,NA,0.04,0.05,NA,8.65,36.48,NA,NA,NA,NA,NA,0.03,0.77
NA,NA,6.7,0.25,NA,NA,0.09,0.04,NA,0.35,15.56,NA,NA,NA,NA,NA,NA,0.72
NA,NA,8.09,0.02,NA,NA,0.11,0.03,NA,10.05,5.44,NA,NA,NA,NA,NA,NA,0.84
NA,NA,3.34,1.02,NA,NA,0.94,0.03,NA,0.79,9.92,NA,NA,NA,NA,NA,NA,1.41
NA,NA,1.62,NA,NA,NA,2.39,0.01,NA,0.51,167.77,NA,NA,NA,NA,NA,NA,1.09
NA,NA,1.34,0.32,NA,NA,0.77,0.02,NA,0.39,46.28,NA,NA,NA,NA,NA,NA,1.13
NA,NA,1.88,0.23,NA,NA,0.65,0.02,NA,3.47,27.1,NA,0.05,NA,NA,NA,NA,1.44
NA,NA,1.26,1.34,NA,NA,1.09,0.05,NA,0.22,73.85,NA,0.05,0.02,NA,NA,NA,1.6
NA,NA,1.46,NA,NA,NA,0.66,0.11,NA,0.21,37.64,NA,NA,NA,NA,NA,NA,1.31
NA,NA,1.55,0.08,NA,0.05,0.92,0.05,16.31,0.45,26.99,NA,NA,NA,NA,NA,NA,1.66
NA,NA,0.58,0.08,NA,NA,0.68,0.01,NA,7.32,122.31,NA,NA,NA,NA,NA,NA,1.53
NA,NA,1.63,0.07,NA,0.25,0.56,0.07,NA,0.1,77.79,NA,NA,NA,NA,NA,NA,1.58
NA,NA,2.07,0.2,NA,NA,61.71,0.03,NA,0.26,137.45,NA,NA,0.13,NA,NA,NA,2.42
0.11,NA,2.38,0.19,NA,NA,0.2,0.09,NA,0.01,3.03,NA,NA,NA,NA,NA,NA,1.57
0.79,NA,2.2,1.41,NA,0.08,0.32,0.03,NA,0.03,2.45,NA,NA,NA,NA,NA,NA,1.54
0.59,NA,0.02,0.09,0.03,NA,0.16,4.33,0.39,10.38,0.03,NA,0.03,NA,0.16,NA,9.07,12.75
0.65,NA,0.44,0.22,5.08,NA,0.03,4.18,0.1,3.41,0.04,NA,NA,NA,NA,NA,10.16,16.04
1.08,NA,0.45,0.2,NA,NA,0.04,4.45,0.94,13.24,0.13,NA,0.75,NA,0.01,NA,29.03,15.81
1.19,NA,0.12,0.25,NA,NA,0.08,1.11,0.28,9.5,0.02,NA,0.76,NA,NA,NA,7.01,1.81
NA,NA,0.05,0.49,3.27,NA,0.06,1.62,0.85,4.35,0.03,NA,1.84,NA,NA,NA,6.9,NA
0.21,NA,0.05,0.29,NA,NA,0.08,2.18,NA,5.02,0.06,0.02,0.17,NA,0.13,NA,7.86,2.23
0.23,NA,0.18,0.02,NA,NA,0.08,1.54,0.78,2.92,NA,0.03,0.69,NA,NA,NA,10.35,4.46
0.22,NA,0.06,0.55,NA,NA,0.04,0.38,0.89,6.38,NA,0.03,NA,NA,NA,NA,5.26,0.49
0.21,NA,NA,0.21,1.58,NA,0.04,0.41,0.62,40.02,1.2,0.05,NA,NA,NA,NA,3.36,0.08
0.24,NA,NA,0.28,NA,NA,0.07,0.55,9.97,4.47,1.63,0.05,0.36,NA,0.29,NA,2.06,0.12
0.57,NA,NA,0.26,NA,NA,0.06,0.78,1.79,6.95,0.02,0.01,0.11,NA,0.1,NA,1.84,1.74
0.17,NA,NA,1.08,NA,0.18,0.1,0.33,1.1,3.29,0.06,0.01,NA,NA,0.46,NA,1.63,2.22
0.06,NA,NA,0.09,0.31,0.05,0.19,1.02,0.77,1.3,NA,NA,NA,NA,0.04,NA,1.28,1.85
0.53,NA,NA,NA,NA,0.47,0.22,0.12,0.55,2.52,NA,NA,0.57,NA,NA,NA,0.26,4.04
0.29,NA,0.19,NA,NA,0.27,0.3,0.54,1.29,2.51,0.04,0.01,0.8,NA,NA,0.03,3.65,9.26
0.21,NA,0.02,0.36,NA,0.27,0.3,3.16,0.9,3.18,NA,NA,5.55,NA,3.7,0.24,2.57,15.93
0.06,NA,NA,2.39,NA,0.52,0.16,0.42,0.44,1.2,NA,0.11,NA,1.12,0.17,0.02,0.09,25.26
0.36,NA,NA,0.62,0.39,0.24,0.16,2.08,0.04,4.38,NA,NA,7.13,NA,NA,0.03,0.02,42.76
1.28,NA,NA,2.92,0.65,0.79,0.21,2.02,0.01,15.12,NA,0.2,1.68,NA,0.07,0.07,0.03,56.17
NA,1.34,NA,0.9,NA,NA,11.84,8.98,0.63,21.09,0.02,NA,NA,NA,NA,NA,0.05,NA
NA,1.28,0.03,0.96,NA,NA,13.05,9.98,0.13,32.89,NA,NA,NA,NA,NA,NA,0.05,NA
NA,1.12,0.13,NA,NA,NA,13.44,11,26.04,519.03,0.08,NA,1.1,NA,NA,0.06,0.1,NA
NA,1.24,NA,0.02,NA,NA,14.06,13.82,0.14,51.97,0.25,NA,0.19,NA,NA,NA,0.17,NA
NA,1.03,0.02,0.61,NA,NA,11.87,10.27,0.04,32.97,0.03,NA,1.15,0.73,NA,0.11,0.21,NA
NA,0.87,NA,0.35,NA,NA,38.2,12.67,0.25,29.06,0.2,NA,1.93,1.04,0.12,NA,0.21,NA
NA,0.82,0.2,0.34,NA,NA,11.95,12.28,0.34,34.22,2.11,NA,2.68,1.44,0.09,0.33,0.22,NA
NA,0.85,0.07,0.84,NA,NA,18.29,11.85,0.23,36.57,0.03,NA,0.23,1.34,0.69,1.17,0.23,NA
NA,0.65,0.22,NA,NA,0.11,12.43,108.68,0.85,30.58,2.65,NA,1.32,1.38,NA,0.28,0.13,0.03
NA,0.61,0.14,0.73,NA,0.21,14.76,15.36,1.94,31.86,0.04,0.03,NA,0.84,0.86,0.07,0.18,0.06
NA,0.88,NA,7.52,NA,0.19,20.12,23.93,0.21,22.93,3.23,0.05,3.61,0.98,0.66,1.45,0.04,NA
NA,1.03,NA,0.03,NA,0.36,23.08,21.14,7.13,12.19,4.21,0.04,2.09,0.85,0.04,2.67,0.15,0.04
NA,0.86,NA,0.05,NA,0.32,30.31,17.73,1.31,21.08,2.18,NA,2.16,1.27,2.89,0.45,0.17,0.45
NA,0.3,NA,2.67,NA,0.03,28.97,39.07,18.22,17.25,NA,NA,1.18,2.87,0.12,1.11,NA,3.19
NA,0.32,0.17,NA,1.02,0.63,34.53,65.07,15.19,16.13,0.07,NA,1.28,2.95,0.44,2.59,0.07,9.91
0.5,0.37,0.07,0.2,1.92,0.79,29.13,183.53,9.69,11.25,2.94,NA,0.69,12.06,NA,3.93,2.36,42.1
0.04,0.37,1.69,0.64,9.26,1,28.68,137.27,6.14,26.01,0.19,NA,0.06,5.11,1.57,1.78,1.23,18.09
0.1,0.41,0.18,0.18,0.58,0.47,25.27,57.61,3.68,35.28,0.09,NA,2.67,7.69,0.02,4.24,2.24,31.22
4.61,0.44,0.02,0.95,0.51,1.24,23.78,50.12,0.64,13.27,0.04,NA,1.07,5.6,4.13,3.05,2.2,20.61
0.05,0.16,NA,NA,NA,NA,0.04,0.74,NA,0.1,1.58,NA,0.71,NA,NA,0.62,NA,23.37
NA,0.03,NA,NA,NA,0.84,0.05,0.15,NA,0.21,1.81,NA,2.13,NA,NA,1.58,NA,20.49
NA,0.23,0.07,1.38,NA,NA,0.01,8.53,NA,0.32,8.33,NA,2.27,NA,NA,1.04,5.38,30.85
NA,0.15,NA,NA,NA,3,0.02,5.8,NA,0.32,4.13,NA,1.86,NA,NA,11,12.5,15.04
NA,0.29,NA,0.02,NA,0.91,0.09,3.21,NA,0.31,5.83,NA,2.05,NA,NA,9.07,4.68,18.26
NA,0.4,NA,0.35,NA,1.17,0.01,3.28,NA,0.41,0.99,NA,2.05,NA,2.27,3.41,3.37,19.87
NA,0.4,0.29,8.32,NA,1.16,0.02,3.64,NA,1.56,1.34,NA,1.48,NA,1.62,11.1,0.19,49.75
0.07,0.29,NA,0.62,NA,1.36,0.02,4.98,NA,2.12,NA,0.06,1.78,NA,2.79,10.19,0.12,41.85
0.1,0.54,0.04,0.45,NA,2.11,0.01,5.82,0.02,21.12,NA,0.14,1.53,NA,3.24,17.59,1.46,55.4
0.05,0.07,NA,0.83,NA,1.33,0.22,12.52,0.4,11.04,NA,0.01,1.66,NA,3.53,11.66,4.81,167.23
NA,0.14,NA,2.14,NA,0.82,0.41,7.93,0.72,5.18,0.64,NA,3.39,NA,5.59,36.64,1.44,64.24
NA,0.06,NA,25.64,NA,0.08,0.27,20.63,0.32,7.8,0.95,NA,2.42,NA,7.95,21.31,1.73,57.88
NA,0.15,0.11,7.61,NA,0.24,0.97,3.43,NA,10.57,0.31,NA,2.85,0.02,1.56,21.29,4.91,72.07
NA,0.04,0.01,7.74,0.21,2.24,0.46,14.17,0.01,12.72,NA,0.05,2.3,0.06,24.03,17.23,7.46,50.65
NA,0.11,NA,2.67,0.43,1.28,4.68,8.17,0.02,13.82,0.08,NA,3.75,3.03,14.8,9.3,4.33,34.59
NA,0.09,0.3,0.78,NA,2.34,30.41,75.8,0.49,48.11,0.79,NA,3.49,0.4,9.72,26.39,7.95,76.01
NA,0.79,0.33,1.19,0.4,2.59,12.17,40.22,0.43,29.48,0.57,NA,7.54,6.04,2.23,16.82,9.18,50.75
0.05,0.17,0.04,0.62,2.26,1.01,0.19,22.76,0.31,18.58,0.58,NA,3.15,0.02,0.43,6.55,16,70.52
0.11,0.09,0.21,7.66,1.33,0.16,0.19,61.03,0.01,52.16,0.59,NA,5.49,0.07,0.61,34.3,9.32,42.09
4.74,40.04,19.13,4.79,22.13,40.22,1.41,72.88,266.7,90.28,69.14,0.17,116.36,NA,93.64,22.3,230.03,39.69
2.19,5.42,13.94,NA,113,23.12,1.92,86.85,5.59,93.76,17.17,0.15,68.22,NA,74.62,14.14,257.68,36.34
2.36,0.85,17.53,41.38,19.58,9.33,2.27,39.78,3.33,132.75,77.01,NA,204.24,NA,53.95,4.26,50.52,48.82
3.64,6.93,16.21,18.05,114.21,1.84,2.29,57.39,1.89,119.44,64.63,0.24,89.11,7.75,50.01,46.45,106.01,16.43
1.55,4.27,13.67,11.44,191.14,20.72,79.52,69.13,1.77,108.84,161.08,NA,32.49,2.24,34.14,42.7,99.46,27.11
1.29,45.07,98.09,14.5,92.9,28.39,13.3,137.01,2.47,87.46,70.92,0.58,78.07,2.67,118.63,5.22,226.73,47.42
36.77,1.79,32.69,15.99,148.5,16.6,6.73,27.08,26.24,49.57,35.17,0.52,124.67,2.39,119.26,42.26,128.3,88.94
3.91,17.01,15.92,12.91,140.44,19.42,21.63,34.69,1.93,256.81,91.95,0.32,85.68,2.23,79.1,55.56,230.89,44.57
2.79,4.32,32.11,13.78,114.56,25.81,16.74,37.27,1.49,289.35,62.24,0.97,215.07,4.81,141.91,21.63,459.43,50.13
