Australia,Austria,Belgium,Canada,Denmark,Finlad,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,2.89,NA,NA,NA,NA,2.98,26.68,0.9,9.2,7.2,NA,3.41,0.21,0.52,5.16,3.74,124.53
NA,3.95,NA,0.15,NA,0.02,2.48,7.48,0.31,8.64,5.08,NA,3.96,0.79,4.76,7.41,2.46,136.58
0.04,4.39,NA,0.02,1.54,NA,20.89,27.66,1.53,2.29,9.48,NA,6.14,0.11,3.21,1.36,4.15,84.63
NA,4.32,0.16,0.06,NA,NA,3.73,49.18,0.17,6.37,8.15,NA,5.5,1.74,1.61,4.67,7.48,86.56
NA,2.12,0.36,0.01,2.13,0.09,3.81,15.81,1.24,150.26,10.37,NA,7.5,0.46,2.41,3.09,6.95,73.57
NA,0.39,1.14,NA,NA,0.37,14.14,13.49,0.07,3.93,7.59,NA,6.91,0.33,5.92,4.17,8.99,350.59
NA,0.61,0.4,0.29,1.92,0.39,8.53,17.19,0.05,1.55,10.51,NA,5.47,0.05,1.79,2.54,7.2,81.54
NA,0.42,0.65,0.03,7.81,0.54,41.57,13.62,1.37,4.62,NA,NA,5.76,0.85,0.41,5.54,6.8,227.4
NA,1.31,0.1,0.05,NA,0.28,5.79,33.37,0.49,13.6,NA,NA,6.52,0.35,0.85,0.77,0.69,65.72
NA,1.47,2.73,NA,2.07,0.08,4.59,166.22,1.12,2.52,0.35,NA,2.44,0.21,3.71,3.06,0.72,56.79
NA,2.52,0.01,0.04,4.99,0.33,5.42,12.9,1.05,3.45,NA,NA,4.18,0.12,0.52,6.42,0.39,45.56
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
